Code,Description (unusable),Description (usable),Type,Full amt,Issues,Copy val,Grace
AF8,DO NOT USE Foodshow 2008 Australia,,S,$59.90 ,6.00,$9.98 ,1
AFS,,Auckland Food show 2011,S,$36.00 ,6.00,$6.00 ,1
AG1,,Agency Special Price - 1 year,D,$33.72 ,6.00,$5.61 ,1
AG2,,Agency Special Price - 2 years,D,$59.96 ,12.00,$4.99 ,1
AG3,,Mercury subs OZ 1year,S,$44.96 ,6.00,$7.49 ,1
AG4,,Agengy Special Price - 1 Year,S,$26.22 ,6.00,$4.36 ,1
AG5,,Agency Special Price - 1 year,S,$48.71 ,12.00,$4.05 ,1
AG6,,Agency Special Price 1 Year,S,$25.47 ,6.00,$4.24 ,1
AG7,,Agency Special Price 2 years,S,$54.83 ,12.00,$4.56 ,1
AG8,,M Subs special,S,$26.21 ,6.00,$4.36 ,1
AG9,,Mercury subs 1year special,S,$33.95 ,6.00,$5.65 ,1
AGF,,Mercury subs fix up,S,$25.12 ,6.00,$4.18 ,1
AGR,,Agency Rest of World 1 year,S,$91.12 ,6.00,$15.18 ,1
AGX,,Agency Xmas,S,$29.71 ,6.00,$4.95 ,1
AI,,Australia ISUB Orders,S,$70.80 ,6.00,$11.79 ,1
AM8,,Mercury subs,S,$26.21 ,6.00,$4.36 ,1
AMI,,AMI subs,S,$34.95 ,6.00,$5.82 ,1
AMX,,Amex Rewards 1 year,S,$32.20 ,6.00,$5.36 ,1
AN1,,Ak Foodshow 2012-1 Yr new,S,$35.00 ,6.00,$5.83 ,1
AN2,,Ak Foodshow 2012-2 yrs new,S,$69.00 ,12.00,$5.75 ,1
AP1,,APN Rewards 1 year,S,$20.00 ,4.00,$5.00 ,1
AP2,,APN rewards 2 years,S,$40.00 ,8.00,$5.00 ,1
APN,,APN Free Subs,F,$0.00 ,6.00,$0.00 ,1
AR,,Agency Rest of The World,S,$135.00 ,6.00,$22.50 ,1
AR1,,Ak Foodshow-2012-1 yr renewing,S,$35.00 ,6.00,$5.83 ,1
AR2,,Agency 2 years Rest of World,S,$182.25 ,12.00,$15.18 ,1
AR3,,Ak Foodshow 2012-2 yrs renewing,S,$69.00 ,12.00,$5.75 ,1
ART,DO NOT USE Dish Art Channel Sub,,S,$22.47 ,3.00,$7.48 ,1
AS1,DO NOT USE 1 YR Aust  New GST Dish,,S,$62.75 ,6.00,$10.45 ,1
ASF,DO NOT USE Auck Seafood Festival,,S,$34.95 ,6.00,$5.82 ,1
ATM,,Dish-1yr-Aust-new,S,$67.28 ,6.00,$11.21 ,1
AX1,,Amex Promo 1 year,S,$32.25 ,6.00,$5.37 ,1
AX2,,Amex Promo 2 year,S,$64.50 ,12.00,$5.37 ,1
BAB,,Bookabach-1 year,S,$30.00 ,6.00,$5.00 ,1
BAR,,Barringtons Shopping Ce promo,S,$22.47 ,3.00,$7.48 ,1
BBA,,Beefsteak & Burgundy Conv 1 yea Aus,S,$45.00 ,6.00,$7.50 ,1
BBN,,Beefsteak and Burgundy Conv 1 year,S,$30.00 ,6.00,$5.00 ,1
BDT,,BDT Promotion-Connoisseur,F,$0.00 ,6.00,$0.00 ,1
CDS,,Classic Driver Survey 6 months free,F,$0.00 ,6.00,$0.00 ,0
CLE,,Contact List-Re Esther,F,$0.00 ,6.00,$0.00 ,1
COM,,Competition Winners 1 year,F,$0.00 ,6.00,$0.00 ,0
D1,,** Dish New 1 Year-DNU,S,$43.65 ,6.00,$7.27 ,1
D2,,** Dish 2 Years New-DNU,S,$81.50 ,12.00,$6.79 ,1
DA,DO NOT USE NEW OZ price 1 year,,S,$74.55 ,6.00,$12.42 ,1
DA1,,** Dish OZ 1 Year-DNU,S,$88.50 ,6.00,$14.75 ,1
DA2,,** Dish OZ(1 year) new ren pr-DNU,S,$75.00 ,6.00,$12.50 ,1
DMA,,DMAE1 - Honda list - Dish 2 years,D,$40.00 ,8.00,$5.00 ,1
DN1,,**** Dish New from Issue #45(1 yr),S,$44.50 ,6.00,$7.41 ,1
DN2,,**** Dish-New from #45(2 years),S,$83.20 ,12.00,$6.93 ,1
DR,DO NOT USE NEW ROW 1 YEAR,,S,$138.75 ,6.00,$23.12 ,1
DR1,,**** Dish Renewal from #45(1 yr),S,$38.60 ,6.00,$6.43 ,1
DR2,,**** Dish Renewal from #45(2 yrs),S,$77.20 ,12.00,$6.43 ,1
DRO,,**** Dish Rest of World New,S,$160.00 ,6.00,$26.66 ,1
DS3,,Driver Survey 3 month free,F,$0.00 ,3.00,$0.00 ,0
DWA,,Dish Website OZ-1 yr-Xmas 2012,S,$55.00 ,6.00,$9.16 ,1
DX1,, Dish Xmas 2012(1 yr),S,$35.60 ,6.00,$5.93 ,1
DX2,, Dish Xmas 2012(2 yrs),S,$71.20 ,12.00,$5.93 ,1
DXA,,**** Dish-Website-OZ-1 year,S,$55.00 ,6.00,$9.16 ,1
EB,,Ebsco ROW-New Price,S,$132.75 ,6.00,$22.12 ,1
EBR,,Ebsco ROW price,S,$121.50 ,6.00,$20.25 ,1
EBS,,Ebsco 1 year,S,$42.74 ,6.00,$7.12 ,1
EDD,,Everyday Dish,S,$12.00 ,1.00,$12.00 ,1
F00,DO NOT USE Flybuys 2006 - 2 years,,D,$44.50 ,8.00,$5.56 ,1
F01,DO NOT USE Flybuys 07 2 yr,,S,$50.00 ,8.00,$6.25 ,1
F02,,Flybuys 2011 2 years 12 issues,D,$79.80 ,12.00,$6.64 ,1
F06,DO NOT USE Flybuys 2010 1 year,,D,$39.95 ,6.00,$6.65 ,1
F09,DO NOT USE Food Show 2009 1 Year,,S,$34.95 ,6.00,$5.82 ,1
F10,,Flybuys 2011 1 year 6 issues,D,$42.75 ,6.00,$7.12 ,1
F11,,**Flybuys NEW 1 year 6 issues,S,$29.96 ,6.00,$4.99 ,1
F12,DO NOT USE Flybuys 2007 2 years,,D,$74.95 ,12.00,$6.24 ,1
F2N,,**Flybuys NEW 2 years 12 issues,S,$56.21 ,12.00,$4.68 ,1
FB1,,FLBs Dish 1year 6 + 2 BONUS,S,$26.57 ,8.00,$3.32 ,1
FB2,,FLBs Dish 2 years 12 + 2 BONUS,S,$53.14 ,14.00,$3.79 ,1
FBC,,Flybuy Gift Transfer,S,$44.50 ,8.00,$5.56 ,1
FIX,,Free Fix up ** Must be Authorised**,F,$0.00 ,4.00,$0.00 ,1
FJD,,Fuji Promo,S,$33.71 ,6.00,$5.61 ,1
FJX,DO NOT USE Friend of Jones Xmas 07,,S,$29.45 ,6.00,$4.90 ,1
FO8,DO NOT USE Food Show 08 1 year,,S,$34.95 ,7.00,$4.99 ,1
FOJ,,Friends of Jones - Dish 1 year NZ,D,$29.50 ,6.00,$4.91 ,1
FOO,,ROW Friends of Jones,S,$130.00 ,6.00,$21.66 ,1
FP1,DO NOT USE Flybuys Bonus offer 07,,D,$35.63 ,6.00,$5.93 ,1
FP2,DO NOT USE Flybuys Bonus offer 07,,D,$62.37 ,12.00,$5.19 ,1
FR2,,FREE - NZ 2 year Complimentary,F,$0.00 ,12.00,$0.00 ,0
FRE,,FREE - NZ 1 year Complimentary,F,$0.00 ,6.00,$0.00 ,0
FRL,,Free - NZ life Complimentary,F,$0.00 ,Life,$0.00 ,0
FS,,DISH 1 YEAR FOODSHOW 2011 -7 ISSUES,S,$35.00 ,6.00,$5.83 ,1
FS2,,FOODSHOW 2011 2 YEARS,S,$70.00 ,12.00,$5.83 ,1
FX,,FIX UP subs (must be authorised),F,$0.00 ,3.00,$0.00 ,1
GOR,,Gourmet Direct 1 year,F,$0.00 ,6.00,$0.00 ,1
GSH,,St Heliers Garden Tours,F,$0.00 ,6.00,$0.00 ,1
H1,,NZ Herald - Bulk Sub 1 year,D,$20.00 ,3.00,$6.66 ,1
HBF,,Hawkes Bay Festival offer,D,$37.00 ,6.00,$6.16 ,1
HON,,Honda list 2 years,F,$0.00 ,11.00,$0.00 ,1
I09,,isub dish 1 year,S,$26.56 ,6.00,$4.42 ,1
I1,,Isubscribe price 1 year,S,$31.79 ,6.00,$5.29 ,1
I12,,Image Centre 2012,F,$0.00 ,6.00,$0.00 ,1
I1F,,Isubscribe price Fathers day 1yr,S,$25.34 ,6.00,$4.22 ,1
I1M,,Isubscribe 1 year Mother's Day,S,$25.34 ,6.00,$4.22 ,1
I1O,,ISUB AUSTRALIA 1 Year,S,$47.06 ,6.00,$7.84 ,1
I1X,,DO NOT USE Isub 1 year Xmas rate,S,$25.34 ,6.00,$4.22 ,1
I2,,Isubscribe price 2 years,S,$63.16 ,12.00,$5.26 ,1
I2F,,Isubscribe price 2 yrs Fathers Day,S,$46.76 ,12.00,$3.89 ,1
I2M,,Isubscribe 2 years Mother's Day,S,$46.76 ,6.00,$7.79 ,1
I2S,,iSUBSCRIBE 2 YEARS,S,$54.34 ,12.00,$4.52 ,1
I2X,,Isubscribe 2 year Xmas rate,S,$46.76 ,12.00,$3.89 ,1
I3,,ISUB 1 year,S,$44.15 ,6.00,$7.35 ,1
I4,,ISUB 2 years,S,$81.50 ,12.00,$6.79 ,1
IA,,ISUB Australia 1 YEAR,S,$66.37 ,6.00,$11.06 ,1
IA1,,Isubscribe price 1 year Australia,S,$43.46 ,6.00,$7.24 ,1
IA2,,ISUB 2 YEARS OZ,S,$97.46 ,12.00,$8.12 ,1
IA3,,ISUB OZ 1 year,S,$88.50 ,6.00,$14.75 ,1
IC2,DO NOT USE ISUB CHRISTMAS 2 YRS 09,,S,$49.40 ,12.00,$4.11 ,1
ICP,,ICP-Clients,F,$0.00 ,6.00,$0.00 ,1
ICX,,Image Centre xmas,F,$0.00 ,6.00,$0.00 ,1
II,,Isub 1 year,S,$29.96 ,6.00,$4.99 ,1
IM,DO NOT USE ISUB MOTHERS DAY 2010,,S,$24.30 ,6.00,$4.05 ,1
IN1,DO NOT USE Inspire Transfer - 1,,F,$0.00 ,1.00,$0.00 ,0
IN2,DO NOT USE Inspire Transfer - 2,,F,$0.00 ,2.00,$0.00 ,0
IN3,DO NOT USE Inspire Transfer - 3,,F,$0.00 ,3.00,$0.00 ,0
IN4,DO NOT USE Inspire Transfer - 4,,F,$0.00 ,4.00,$0.00 ,0
IN5,DO NOT USE Inspire Transfer - 5,,F,$0.00 ,5.00,$0.00 ,0
IN6,DO NOT USE Inspire Transfer - 6,,F,$0.00 ,6.00,$0.00 ,0
INT,DO NOT USE Inspire Transfer - 7,,F,$0.00 ,7.00,$0.00 ,0
IR1,,Isub ROW price 1 year,S,$120.00 ,6.00,$20.00 ,1
IS,DO NOT USE isub mothers day 09,,S,$24.70 ,6.00,$4.11 ,1
IS1,,ISUB special price One Year,S,$34.95 ,6.00,$5.82 ,1
IS2,,ISUB special price 2 years,S,$69.90 ,12.00,$5.82 ,1
IS3,,ISUB special One Year,S,$34.90 ,6.00,$5.81 ,1
IS4,,ISUB 6 Months,S,$18.90 ,3.00,$6.29 ,1
ISC,,Isubs Combo - Add 1 year TOP GEAR,S,$94.95 ,6.00,$15.82 ,1
ISF,,Isubscribe Combo - FREE DISH w/ TPG,F,$0.00 ,6.00,$0.00 ,1
ISR,,ISUB RENEWAL 1 YEAR,S,$27.09 ,6.00,$4.51 ,1
ITM,,ITM Winners,S,$29.52 ,6.00,$4.91 ,1
IX1,,DO NOT USE ISUB XMAS 1 YEAR 2010,S,$29.73 ,6.00,$4.95 ,1
IX2,DO NOT USE ISUB XMAS 2 YEAR 2010,,S,$55.50 ,12.00,$4.62 ,1
JOH,,John's Free list,F,$0.00 ,6.00,$0.00 ,0
LG1,,Loyalty Guide-1 year-2 bonus issues,S,$30.55 ,8.00,$3.81 ,1
LG2,,Loyalty Guide-2 yrs-2 bonus issues,S,$61.10 ,14.00,$4.36 ,1
LP1,,Lap8 Dish 1 year + 1 issue free,S,$34.95 ,7.00,$4.99 ,1
LP2,,Lap8 Dish 2 year + 1 issue free,S,$64.95 ,13.00,$4.99 ,1
M1,,Magshop - NZ 1 year (4 issues),S,$21.86 ,6.00,$3.64 ,1
M10,,TMMC 2 years,S,$52.43 ,12.00,$4.36 ,1
M11,,TMMC 2 year,S,$56.21 ,12.00,$4.68 ,1
M12,,Mercury Energy 2012,F,$0.00 ,6.00,$0.00 ,1
M18,DO NOT USE Mothers Day 08 1 Year,,S,$34.95 ,6.00,$5.82 ,1
M2,,MERC SUBS 2 YEARS,S,$59.85 ,12.00,$4.98 ,1
M28,DO NOT USE Mothers Day 08 2 Year,,S,$64.50 ,12.00,$5.37 ,1
M2R,,Mercury Subs (TMMC) 1 year '09 ROW,S,$110.45 ,6.00,$18.40 ,1
MA,,MERC SUBS OZ 1 YEAR,S,$47.06 ,6.00,$7.84 ,1
MA1,,Magshop - AUS 1 year (4 issues),S,$41.57 ,6.00,$6.92 ,1
MAG,,Dish Magazzino - 1 yr + 4 issue spc,S,$43.00 ,8.00,$5.37 ,1
MC2,,TMMC 2 YEARS,S,$52.46 ,12.00,$4.37 ,1
MD2,DO NOT USE Mothers Day 2yr 2007,,S,$64.50 ,12.00,$5.37 ,1
MDP,DO NOT USE Mothers Day -1 yr 2007,,S,$34.95 ,6.00,$5.82 ,1
MER,,Mercury Subs (TMMC) 1 Year,S,$29.96 ,6.00,$4.99 ,1
MFP,,Mitsubishi Fridge Promo-1 year,S,$29.10 ,6.00,$4.85 ,1
MG,,MAG NATION AUSTRALIA 1 YEAR,S,$50.20 ,6.00,$8.36 ,1
MG1,DO NOT USE Magnation 1 year oz,,S,$47.96 ,6.00,$7.99 ,1
MGS,,Magshop 1 year 2011,S,$42.75 ,6.00,$7.12 ,1
MIT,,Mitsubishi subs-1 year,S,$33.46 ,6.00,$5.57 ,1
MM?,,Mercury Subs (TMMC) 2 year '09 ROW,D,$206.55 ,12.00,$17.21 ,1
MM1,,Mercury Subs (TMMC) 1 Year '09,D,$33.95 ,6.00,$5.65 ,1
MM2,,Mercury Subs (TMMC) 2 Year '09,D,$63.70 ,12.00,$5.30 ,1
MM5,,1 Year Australia  TMMC,S,$74.75 ,6.00,$12.45 ,1
MMA,,Mercury Subs (TMMC) 1 Year '09 OZ,D,$50.96 ,6.00,$8.49 ,1
MMO,,Mercury Subs (TMMC) 2 year '09 OZ,D,$101.92 ,12.00,$8.49 ,1
MMR,,Mercury Subs (TMMC) 1 year '09 ROW,D,$153.00 ,6.00,$25.50 ,1
MO,DO NOT USE Mother's Day 1yr 2011,,S,$37.05 ,6.00,$6.17 ,1
MO2,DO NOT USE Mothers day 2 year 2011,,S,$74.10 ,12.00,$6.17 ,1
MOC,,Moccona-3 issue subs,S,$17.25 ,3.00,$5.75 ,1
MR,,MERCURY SUBS ROW,S,$96.46 ,6.00,$16.07 ,1
MRC,,MRWC Entries,F,$0.00 ,2.00,$0.00 ,1
MRW,,Magshop - UK 1 year (4 issues),S,$59.13 ,6.00,$9.85 ,1
MS,,MERC SUBS 1 YEAR,S,$32.06 ,6.00,$5.34 ,1
MS1,,Mercury Subs 1 year,S,$38.21 ,6.00,$6.36 ,1
MS2,,Mercury Subs 1 year Australia,S,$51.00 ,6.00,$8.50 ,1
MS3,,Mercury Subs 2 years,S,$67.96 ,12.00,$5.66 ,1
MSF,,mercury subs fix up,S,$28.62 ,6.00,$4.77 ,1
MSR,,Mercury Subs Rest of World,S,$153.00 ,6.00,$25.50 ,1
MTD,,1 Year MT Difficulty,S,$34.95 ,6.00,$5.82 ,1
MX1,,AMEX Certificate promo - NZ 1 year,S,$21.50 ,4.00,$5.37 ,1
NZO,,NZ OPERA SUB,F,$0.00 ,12.00,$0.00 ,1
NZP,,NZ Post Promo 1 Year,S,$32.00 ,6.00,$5.33 ,1
NZT,,NZ today 3 months Free Dish,F,$0.00 ,3.00,$0.00 ,0
OZ1,,** Dish -1Yr Aust-New-T/Website,S,$75.00 ,6.00,$12.50 ,1
OZ2,,**** 1 yr-Aust-new (start iss 45),S,$89.70 ,6.00,$14.95 ,1
P2,,Pinpoint(2nd price),S,$34.45 ,6.00,$5.74 ,1
PA1,,1 Year Aust PayPal Dish Wedsite,S,$57.16 ,6.00,$9.52 ,1
PI2,,Pinpoint -1 year(NEW),S,$37.05 ,6.00,$6.17 ,1
PIN,,Pin Point Subscriptions,S,$35.00 ,6.00,$5.83 ,1
PN1,,1 Year NZ PayPal Dish Website,S,$33.31 ,6.00,$5.55 ,1
PN2,,2 year NZ PayPal Dish Website,S,$67.12 ,6.00,$11.18 ,1
PNW,,1 year Paypal ROW Dish website,S,$124.43 ,6.00,$20.73 ,1
PP1,,Pay pal 1 year nz,S,$38.14 ,6.00,$6.35 ,1
PP2,,2 year pay pal nz,S,$71.95 ,6.00,$11.99 ,1
PPA,DO NOT USE 1 Year Australia,,S,$37.94 ,6.00,$6.32 ,1
PRE,,Prezzies Wordstream- 1year(6 issues,S,$34.95 ,6.00,$5.82 ,1
PRI,,Primary Field Days-1 year,S,$37.85 ,6.00,$6.30 ,1
PRM,,Premium Group 1 year,S,$32.90 ,6.00,$5.48 ,1
PRZ,,Prezzies (Wordstream) 1 year NZ,D,$21.50 ,4.00,$5.37 ,1
PS1,DO NOT USE Pub xmas 1yr offer,,S,$32.20 ,6.00,$5.36 ,1
PS2,DO NOT USE Pub xmas 2 year offer,,S,$64.40 ,12.00,$5.36 ,1
PUB,,** Publisher Price-Re Esther,S,$34.90 ,6.00,$5.81 ,1
R1,,** Dish Renewal 2011 1 yr-DNU,S,$37.85 ,6.00,$6.30 ,1
R2,,** Dish Renewal 2011 2 yr-DNU,S,$75.70 ,12.00,$6.30 ,1
R3,,**Dish Renewal 2 yrs(2nd) price,S,$69.80 ,12.00,$5.81 ,1
RES,,Resene C'Shop offer,S,$37.00 ,6.00,$6.16 ,1
RG,,Rg transfer - pls amend issues,F,$0.00 ,0.00,$0.00 ,1
RM,,reach media,S,$24.18 ,6.00,$4.03 ,1
RNW,DO NOT USE 1 Year ROWDish,,S,$132.75 ,6.00,$22.12 ,1
ROW,DO NOT USE ROW-1 year Price,,S,$121.50 ,6.00,$20.25 ,1
RS,,Dish 1 year-Sp(Mothers Day 2012),S,$34.90 ,6.00,$5.81 ,1
RS1,,NEW Resene Cardholder Price 1 yr NZ,D,$39.95 ,6.00,$6.65 ,1
RS2,,Dish Ren2 yrs(Mothers Day 2012),S,$69.80 ,12.00,$5.81 ,1
RW,DO NOT USE Rest of the World Price,,S,$180.00 ,6.00,$30.00 ,1
RW1,DO NOT USE REST OF WORLD,,S,$160.00 ,6.00,$26.66 ,1
RWN,DO NOT USE Rest of World 1 year,,S,$129.95 ,6.00,$21.65 ,1
SP1,,Dish 1 year + 1 issue free,S,$44.96 ,7.00,$6.42 ,1
SP2,,Dish 2 year +1 issue Free,S,$79.95 ,13.00,$6.15 ,1
SP3,,Dish 1 year-Sp price,S,$34.50 ,6.00,$5.75 ,1
SP4,,**Dish 1 year sp price,S,$34.95 ,6.00,$5.82 ,1
SPE,,Special Deal bulk subs,D,$30.00 ,6.00,$5.00 ,1
SR1,,Renewal 1 years +1 issue free,S,$34.95 ,7.00,$4.99 ,1
SR2,,Renewal 2 years +1 issue free,S,$64.95 ,13.00,$4.99 ,1
SUP,,Supper Club Members,F,$0.00 ,6.00,$0.00 ,1
SX,DO NOT USE SPECIAL XMAS,,S,$34.20 ,6.00,$5.70 ,1
SX2,DO NOT USE SPECIAL XMAS 2 YEARS,,S,$68.40 ,12.00,$5.70 ,1
T6,,TMMC-new 6 months price,S,$13.99 ,3.00,$4.66 ,1
TC,,Telstra Clear,S,$35.60 ,6.00,$5.93 ,1
TC1,,TMMC Carlson-1 year,S,$37.83 ,6.00,$6.30 ,1
TC6,,TMMC Carlson-6 months,S,$18.92 ,3.00,$6.30 ,1
TEL,,Telecom champion mag subs,F,$0.00 ,6.00,$0.00 ,1
TM,,tmmc 1 year special,S,$29.93 ,6.00,$4.98 ,1
TM1,,TMMC 1 year(New),S,$32.74 ,6.00,$5.45 ,1
TM2,,2 YEAR TMMC AUST,S,$89.93 ,6.00,$14.98 ,1
TM3,,Dish-1 yr TMMC-new,S,$32.62 ,6.00,$5.43 ,1
TM4,,Dish-1yr-TMMC-new,S,$33.38 ,6.00,$5.56 ,1
TM6,,Carlson-TMMC 6 months,S,$16.31 ,3.00,$5.43 ,1
TM7,,TMMC-Dish 2 years,S,$62.40 ,6.00,$10.39 ,1
TM8,,TMMC-1 Year,S,$29.25 ,6.00,$4.87 ,1
TMA,,Dish 1 yr Aust-TMMC,S,$66.38 ,6.00,$11.06 ,1
TMC,,Dish 1 yr(Aimia),S,$28.47 ,6.00,$4.74 ,1
TMD,,TMMC 2 years -new,S,$61.13 ,12.00,$5.09 ,1
TMM,,Carlson-TMMC 1 year,S,$32.74 ,6.00,$5.45 ,1
VAD,,1 year Value Ad (Pub Request),F,$0.00 ,6.00,$0.00 ,0
VID,,Vidal Reserve Series Promo,F,$0.00 ,6.00,$0.00 ,1
WF,,West Ferry 1 year,S,$34.92 ,6.00,$5.82 ,1
WF1,,New 1 year subs - Wgtn Fd show 2012,D,$35.00 ,6.00,$5.83 ,1
WF2,,New 2 year subs - Wgtn Fd Show 2012,D,$69.00 ,12.00,$5.75 ,1
WIN,,Dish Competition Winners 1 yr,F,$0.00 ,6.00,$0.00 ,0
WN2,,Dish Competition Winners 2 Years,F,$0.00 ,12.00,$0.00 ,0
WR1,,Renew 1 year - Wgtn Food Show 2012,D,$35.00 ,6.00,$5.83 ,1
WR2,,Renew 2 years - Wgtn Food Show 2012,D,$69.00 ,12.00,$5.75 ,1
X,DO NOT USE XMAS 2010 1 Year,,S,$39.90 ,6.00,$6.64 ,1
X07,DO NOT USE Xmas 1 year  2007,,S,$34.95 ,6.00,$5.82 ,1
X08,DO NOT USE Xmas 1 year 2008,,S,$34.95 ,6.00,$5.82 ,1
X09,DO NOT USE 1Year Xmas 09,,S,$34.95 ,6.00,$5.82 ,1
X1,DO NOT USE Xmas spec 1 yr,,S,$24.95 ,4.00,$6.23 ,1
X2,DO NOT USE xmas 2010 2 years,,S,$74.00 ,12.00,$6.16 ,1
X27,DO NOT USE Xmas 2 year 2007,,S,$64.95 ,12.00,$5.41 ,1
X28,DO NOT USE Xmas 2 year 2008,,S,$64.50 ,12.00,$5.37 ,1
X29,DO NOT USE 2 year Xmas 09,,S,$69.90 ,12.00,$5.82 ,1
XA1,DO NOT USE AUS 1 year $56.95 for 4,,S,$56.95 ,4.00,$14.23 ,1
XA8,DO NOT USE 1 year Xmas Australia,,S,$54.95 ,6.00,$9.15 ,1
XF1,,1 Year Flyer Promo,S,$34.95 ,6.00,$5.82 ,1
XF2,,2 Year Flyer Promo,S,$64.50 ,12.00,$5.37 ,1
XFB,DO NOT USE - Fly Buys $20 for 4,,D,$20.00 ,4.00,$5.00 ,1
XP1,DO NOT USE Spec Pric 1 26.85 for 4,,S,$26.85 ,4.00,$6.71 ,1
XP2,DO NOT USE Spec Pric 2 29.95 for 4,,S,$29.95 ,4.00,$7.48 ,1
XRW,DO NOT USE ROW price $78.00 for 4,,S,$78.00 ,4.00,$19.50 ,1
Z2,DO NOT USE Imp-NZ 2 years $53.70,,S,$53.70 ,8.00,$6.71 ,1
ZA1,DO NOT USE Imp-AUS 1 year $39.95,,S,$39.95 ,4.00,$9.98 ,1
ZFB,DO NOT USE Imp-FlyBuys 2 yr $44.50,,S,$44.50 ,8.00,$5.56 ,1
ZFR,DO NOT USE Import - Free Comp Subs,,F,$0.00 ,8.00,$0.00 ,0
ZG1,DO NOT USE Imp-Agency Pric 1 $22.50,,S,$22.50 ,4.00,$5.62 ,1
ZG2,DO NOT USE Imp-Agency Pric 2 $24.71,,S,$24.71 ,4.00,$6.17 ,1
ZG3,DO NOT USE Imp-Agency Pric 3 $24.85,,S,$24.85 ,4.00,$6.21 ,1
ZG4,DO NOT USE Imp-Agency Pric 4 $49.90,,S,$49.90 ,8.00,$6.23 ,1
ZH1,DO NOT USE Imp-NZHerald Price $20,,D,$20.00 ,4.00,$5.00 ,1
ZM1,DO NOT USE Imp-Magshop 1 $19.60,,S,$19.60 ,4.00,$4.90 ,1
ZM2,DO NOT USE Imp-Magshop 2 $21.86,,S,$21.86 ,4.00,$5.46 ,1
ZM3,DO NOT USE Imp-Magshop 3 AUS $40,,S,$40.00 ,4.00,$10.00 ,1
ZM4,DO NOT USE Imp-Magshop 4 ROW $41,,S,$41.00 ,4.00,$10.25 ,1
ZMX,DO NOT USE Imp-AMEX Special $21.50,,S,$21.50 ,4.00,$5.37 ,1
ZR2,DO NOT USE Imp-ROW 2 yr price $162,,S,$162.00 ,8.00,$20.25 ,1
ZRW,DO NOT USE Imp-ROW 1 year price $81,,S,$81.00 ,4.00,$20.25 ,1
ZS1,DO NOT USE Imp-Special Pric 1 19.95,,S,$19.95 ,4.00,$4.98 ,1
ZS2,DO NOT USE Imp-Special Pric 2 24.95,,S,$24.95 ,4.00,$6.23 ,1
ZS3,DO NOT USE Imp-Special Pric 3 18.95,,S,$18.95 ,4.00,$4.73 ,1
ZS4,DO  NOT USEImp-Special Pric 4 23.75,,S,$23.75 ,4.00,$5.93 ,1
ZS5,DO NOT USE Imp-Special Pric 5 14.95,,S,$14.95 ,4.00,$3.73 ,1
ZS6,DO NOT USE Imp-Special Pric 6 $18,,S,$18.00 ,4.00,$4.50 ,1
ZS7,DO NOT USE Imp-Special Pric 7 32.95,,S,$32.95 ,8.00,$4.11 ,1
ZS8,DO NOT USE Imp-Special Pric 8 39.90,,S,$39.90 ,8.00,$4.98 ,1
ZS9,DO NOT USE Imp-Special Pric 9 $43,,S,$43.00 ,8.00,$5.37 ,1
